test,spec,area,subL,gateL,dyn,pCL2,pAll
cacheline128,specbzip.txt,49.4735,1.1997795,.01079706,.5639822,7.75802,7.97557
cacheline128,spechmmer.txt,49.4735,1.1997795,.01079706,.5927142,7.75802,7.97557
cacheline128,speclibm.txt,49.4735,1.1997795,.01079706,.3548829,7.75802,7.97557
cacheline128,specmcf.txt,49.4735,1.1997795,.01079706,.5773352,7.75802,7.97557
cacheline128,specsjeng.txt,49.4735,1.1997795,.01079706,.2867853,7.75802,7.97557
cacheline32,specbzip.txt,11.51330,.79812864,.005153027,.14025898,1.162398,1.37995
cacheline32,spechmmer.txt,11.51330,.79812864,.005153027,.19039331,1.162398,1.37995
cacheline32,speclibm.txt,11.51330,.79812864,.005153027,.05541949,1.162398,1.37995
cacheline32,specmcf.txt,11.51330,.79812864,.005153027,.17738042,1.162398,1.37995
cacheline32,specsjeng.txt,11.51330,.79812864,.005153027,.03726489,1.162398,1.37995
cacheline64,specbzip.txt,14.22863,1.10272789,.007834414,.3067047,2.494852,2.7124
cacheline64,spechmmer.txt,14.22863,1.10272789,.007834414,.36259645,2.494852,2.7124
cacheline64,speclibm.txt,14.22863,1.10272789,.007834414,.1568485,2.494852,2.7124
cacheline64,specmcf.txt,14.22863,1.10272789,.007834414,.3183987,2.494852,2.7124
cacheline64,specsjeng.txt,14.22863,1.10272789,.007834414,.1079606,2.494852,2.7124
l1d128,specbzip.txt,16.88353,1.38591789,.010263354,.4006953,2.706222,2.92377
l1d128,spechmmer.txt,16.88353,1.38591789,.010263354,.468478869,2.706222,2.92377
l1d128,speclibm.txt,16.88353,1.38591789,.010263354,.2008132,2.706222,2.92377
l1d128,specmcf.txt,16.88353,1.38591789,.010263354,.4044775,2.706222,2.92377
l1d128,specsjeng.txt,16.88353,1.38591789,.010263354,.1388443,2.706222,2.92377
l1d32,specbzip.txt,11.59764,.70149189,.004183904,.1004548,2.017732,2.23528
l1d32,spechmmer.txt,11.59764,.70149189,.004183904,.11691474,2.017732,2.23528
l1d32,speclibm.txt,11.59764,.70149189,.004183904,.0574029,2.017732,2.23528
l1d32,specmcf.txt,11.59764,.70149189,.004183904,.1257265,2.017732,2.23528
l1d32,specsjeng.txt,11.59764,.70149189,.004183904,.0423844,2.017732,2.23528
l1d64,specbzip.txt,14.22863,1.10272789,.007834414,.3067047,2.494852,2.7124
l1d64,spechmmer.txt,14.22863,1.10272789,.007834414,.36259645,2.494852,2.7124
l1d64,speclibm.txt,14.22863,1.10272789,.007834414,.1568485,2.494852,2.7124
l1d64,specmcf.txt,14.22863,1.10272789,.007834414,.3183987,2.494852,2.7124
l1d64,specsjeng.txt,14.22863,1.10272789,.007834414,.1079606,2.494852,2.7124
l1dassoc1,specbzip.txt,14.18885,1.10049789,.007821214,.3048628,2.492292,2.70984
l1dassoc1,speclibm.txt,14.18885,1.10049789,.007821214,.1559013,2.492292,2.70984
l1dassoc1,specmcf.txt,14.18885,1.10049789,.007821214,.3169604,2.492292,2.70984
l1dassoc1,specshmmer.txt,14.18885,1.10049789,.007821214,.3572692,2.492292,2.70984
l1dassoc1,specsjeng.txt,14.18885,1.10049789,.007821214,.1075958,2.492292,2.70984
l1dassoc2,specbzip.txt,14.22863,1.10272789,.007834414,.3067047,2.494852,2.7124
l1dassoc2,speclibm.txt,14.22863,1.10272789,.007834414,.1568485,2.494852,2.7124
l1dassoc2,specmcf.txt,14.22863,1.10272789,.007834414,.3183987,2.494852,2.7124
l1dassoc2,specshmmer.txt,14.22863,1.10272789,.007834414,.36259942,2.494852,2.7124
l1dassoc2,specsjeng.txt,14.22863,1.10272789,.007834414,.1079606,2.494852,2.7124
